name,id,mass,u,dragArea,reflectingArea,date,semiMajorAxis,eccentricity,inclination,rAAN,argOfPerigee,meanAnomaly,date,timediff
8HCJDTQQ,1737,1.0,2.0,0.025,0.1,2014-08-12T12:55:23.000,7060000.0,0.001,1.6929693744345,0.0,0.0,0.0,2033-09-15T05:27:55.839,19.0914255597309
3M8E0BQT,861,5.0,2.0,0.025,0.1,2014-08-12T12:47:00.000,6970000.0,0.001,1.6929693744345,0.0,0.0,0.0,2043-02-24T20:42:52.140,28.5372047338412
7YSDYWJ8,2224,3.5,2.0,0.025,0.1,2014-08-12T12:58:47.000,7100000.0,0.001,1.71042266695444,0.0,0.0,0.0,2111-10-10T20:53:10.238,97.1601059570012
MLBZWWYJ,1633,1.5,2.0,0.025,0.1,2014-08-12T12:54:21.000,7050000.0,0.001,1.6929693744345,0.0,0.0,0.0,2037-09-17T16:14:09.025,23.099721417962
REBGR99U,576,2.0,2.0,0.025,0.1,2014-08-12T12:44:10.000,6950000.0,0.001,1.71042266695444,0.0,0.0,0.0,2023-07-22T22:53:39.135,8.94200428482447
7G8Z098F,1760,2.0,2.0,0.025,0.1,2014-08-12T12:55:39.000,7060000.0,0.001,1.71042266695444,0.0,0.0,0.0,2047-04-11T06:57:06.896,32.6604926863659
US5M9PZM,1672,3.0,2.0,0.025,0.1,2014-08-12T12:54:42.000,7050000.0,0.001,1.71042266695444,0.0,0.0,0.0,2059-06-07T13:20:34.583,44.8195377044019
XS59FYOD,562,1.5,2.0,0.025,0.1,2014-08-12T12:44:04.000,6950000.0,0.001,1.71042266695444,0.0,0.0,0.0,2022-09-17T19:17:37.049,8.09872892667201
V5VN6KLX,1253,3.5,2.0,0.025,0.1,2014-08-12T12:51:13.000,7010000.0,0.001,1.6929693744345,0.0,0.0,0.0,2046-02-03T15:41:36.285,31.4804547663539
LZMP8PF9,1588,4.0,2.0,0.025,0.1,2014-08-12T12:53:55.000,7040000.0,0.001,1.71042266695444,0.0,0.0,0.0,2067-05-26T16:19:28.360,52.7868470947384
13IS26K6,2045,5.0,2.0,0.025,0.1,2014-08-12T12:57:36.000,7080000.0,0.001,1.6929693744345,0.0,0.0,0.0,2114-08-12T12:57:37.000,99.9993155232483
CJ5HP27Q,867,1.0,2.0,0.025,0.1,2014-08-12T12:47:05.000,6980000.0,0.001,1.6929693744345,0.0,0.0,0.0,2022-11-15T18:59:38.090,8.26026544008433
F8VG2G8H,491,3.0,2.0,0.025,0.1,2014-08-12T12:43:34.000,6940000.0,0.001,1.6929693744345,0.0,0.0,0.0,2024-09-24T05:05:12.484,10.1165663908225
JGC573PB,1205,1.5,2.0,0.025,0.1,2014-08-12T12:50:53.000,7010000.0,0.001,1.6929693744345,0.0,0.0,0.0,2031-04-11T22:00:31.967,16.6629020445321
0ZGUJ64P,1674,3.0,2.0,0.025,0.1,2014-08-12T12:54:44.000,7050000.0,0.001,1.71042266695444,0.0,0.0,0.0,2059-06-07T13:45:34.758,44.8195377044019
XD59QWCZ,211,5.0,2.0,0.025,0.1,2014-08-12T12:41:40.000,6910000.0,0.001,1.6929693744345,0.0,0.0,0.0,2024-12-05T16:00:49.817,10.3164336023327
XA1WLWT8,1739,1.0,2.0,0.025,0.1,2014-08-12T12:55:24.000,7060000.0,0.001,1.6929693744345,0.0,0.0,0.0,2033-09-15T05:26:14.227,19.0914255597309
94IF8KBT,1385,4.5,2.0,0.025,0.1,2014-08-12T12:52:06.000,7020000.0,0.001,1.6929693744345,0.0,0.0,0.0,2063-01-18T02:00:33.209,48.4335749536267
MXXCP393,2255,4.5,2.0,0.025,0.1,2014-08-12T12:59:00.000,7100000.0,0.001,1.6929693744345,0.0,0.0,0.0,2114-08-12T12:59:00.000,99.9993155232483
P2BU83N7,122,1.5,2.0,0.025,0.1,2014-08-12T12:41:02.000,6910000.0,0.001,1.71042266695444,0.0,0.0,0.0,2021-04-02T09:39:08.195,6.63668658494014
YOJR87LT,877,1.5,2.0,0.025,0.1,2014-08-12T12:47:13.000,6980000.0,0.001,1.6929693744345,0.0,0.0,0.0,2024-05-22T12:03:49.215,9.77432801494897
FCCNXBE7,1351,3.0,2.0,0.025,0.1,2014-08-12T12:51:53.000,7020000.0,0.001,1.6929693744345,0.0,0.0,0.0,2045-07-13T07:26:27.014,30.9164459229142
DQ0702RA,1504,5.0,2.0,0.025,0.1,2014-08-12T12:52:53.000,7030000.0,0.001,1.71042266695444,0.0,0.0,0.0,2075-10-08T15:57:47.376,61.1566288151023
26IQKERO,79,4.0,2.0,0.025,0.1,2014-08-12T12:40:45.000,6900000.0,0.001,1.6929693744345,0.0,0.0,0.0,2023-05-24T22:50:04.549,8.78046777141214
9JRBY22D,154,2.5,2.0,0.025,0.1,2014-08-12T12:41:17.000,6910000.0,0.001,1.71042266695444,0.0,0.0,0.0,2022-06-05T02:12:13.888,7.81124869093821
830D29KQ,1669,3.0,2.0,0.025,0.1,2014-08-12T12:54:41.000,7050000.0,0.001,1.6929693744345,0.0,0.0,0.0,2061-05-25T14:53:09.810,46.7853549354196
LGQKBVB6,2268,5.0,2.0,0.025,0.1,2014-08-12T12:59:05.000,7100000.0,0.001,1.71042266695444,0.0,0.0,0.0,2114-08-12T12:59:05.000,99.9993155232483
63R75O2E,1945,1.0,2.0,0.025,0.1,2014-08-12T12:56:57.000,7080000.0,0.001,1.6929693744345,0.0,0.0,0.0,2036-04-10T14:05:51.803,21.6623202392931
V8UTXTTY,1727,5.0,2.0,0.025,0.1,2014-08-12T12:55:16.000,7050000.0,0.001,1.6929693744345,0.0,0.0,0.0,2089-06-14T19:46:47.946,74.8406880360309
QZX33AZM,2213,3.0,2.0,0.025,0.1,2014-08-12T12:58:43.000,7100000.0,0.001,1.6929693744345,0.0,0.0,0.0,2099-08-05T23:05:24.094,84.9818955899163
1OLSX94Q,1828,5.0,2.0,0.025,0.1,2014-08-12T12:56:10.000,7060000.0,0.001,1.71042266695444,0.0,0.0,0.0,2099-10-06T05:56:48.053,85.1489079173426
EV8JXAAL,860,5.0,2.0,0.025,0.1,2014-08-12T12:46:59.000,6970000.0,0.001,1.71042266695444,0.0,0.0,0.0,2043-02-22T06:31:17.711,28.5289910128202
D578DUQN,1186,5.0,2.0,0.025,0.1,2014-08-12T12:50:46.000,7000000.0,0.001,1.71042266695444,0.0,0.0,0.0,2054-11-23T19:12:22.432,40.2828257938219
Q5XU4MIE,1972,2.0,2.0,0.025,0.1,2014-08-12T12:57:07.000,7080000.0,0.001,1.71042266695444,0.0,0.0,0.0,2057-09-11T01:54:35.246,43.0809667549642
Y9ZHFWHS,1493,4.5,2.0,0.025,0.1,2014-08-12T12:52:49.000,7030000.0,0.001,1.6929693744345,0.0,0.0,0.0,2066-12-06T21:44:16.799,52.3186649965434
BFDQPLT9,1950,1.0,2.0,0.025,0.1,2014-08-12T12:56:59.000,7080000.0,0.001,1.71042266695444,0.0,0.0,0.0,2036-03-08T11:33:54.237,21.5692314010555
I2XAZ1J1,1148,3.5,2.0,0.025,0.1,2014-08-12T12:50:30.000,7000000.0,0.001,1.71042266695444,0.0,0.0,0.0,2044-04-08T22:41:40.879,29.6570086996995
K99O8B04,1584,3.5,2.0,0.025,0.1,2014-08-12T12:53:52.000,7040000.0,0.001,1.71042266695444,0.0,0.0,0.0,2064-02-28T17:01:55.842,49.547903105471
6ZG9D9FC,2223,3.5,2.0,0.025,0.1,2014-08-12T12:58:47.000,7100000.0,0.001,1.6929693744345,0.0,0.0,0.0,2114-08-12T12:58:47.000,99.9993155232483
Y3PPW013,216,5.0,2.0,0.025,0.1,2014-08-12T12:41:42.000,6910000.0,0.001,1.71042266695444,0.0,0.0,0.0,2025-03-12T08:08:29.596,10.5792726750036
H5H9FXZ1,901,2.5,2.0,0.025,0.1,2014-08-12T12:47:32.000,6980000.0,0.001,1.6929693744345,0.0,0.0,0.0,2032-08-27T23:42:44.164,18.0428071760543
EZI04NO2,749,5.0,2.0,0.025,0.1,2014-08-12T12:45:28.000,6960000.0,0.001,1.6929693744345,0.0,0.0,0.0,2036-06-11T19:46:21.857,21.8320704737264
YRZR07DD,1153,4.0,2.0,0.025,0.1,2014-08-12T12:50:32.000,7000000.0,0.001,1.6929693744345,0.0,0.0,0.0,2045-12-25T03:30:38.480,31.3682005790673
1TYL8C85,124,1.5,2.0,0.025,0.1,2014-08-12T12:41:03.000,6910000.0,0.001,1.71042266695444,0.0,0.0,0.0,2021-04-02T09:42:41.244,6.63668658494014
M4SYEWRE,833,4.0,2.0,0.025,0.1,2014-08-12T12:46:37.000,6970000.0,0.001,1.6929693744345,0.0,0.0,0.0,2035-03-20T16:24:11.118,20.6027502275885
3MFZ8C1O,1445,2.5,2.0,0.025,0.1,2014-08-12T12:52:30.000,7030000.0,0.001,1.6929693744345,0.0,0.0,0.0,2044-10-31T18:18:56.427,30.2210175431391
FWDG6A27,1723,5.0,2.0,0.025,0.1,2014-08-12T12:55:13.000,7050000.0,0.001,1.6929693744345,0.0,0.0,0.0,2089-06-14T19:30:37.075,74.8406880360309
H9L1V0L6,3,1.0,2.0,0.025,0.1,2014-08-12T12:40:15.000,6900000.0,0.001,1.6929693744345,0.0,0.0,0.0,2017-02-27T22:02:24.024,2.54625351649931
CAAATBYQ,313,5.0,2.0,0.025,0.1,2014-08-12T12:42:21.000,6920000.0,0.001,1.6929693744345,0.0,0.0,0.0,2026-10-22T23:23:42.560,12.1946378091268
D0X7BWGN,311,4.5,2.0,0.025,0.1,2014-08-12T12:42:20.000,6920000.0,0.001,1.6929693744345,0.0,0.0,0.0,2025-04-24T12:36:46.619,10.6970026763041
XFHO41HN,324,5.0,2.0,0.025,0.1,2014-08-12T12:42:25.000,6920000.0,0.001,1.71042266695444,0.0,0.0,0.0,2027-01-19T16:32:23.945,12.4383115327488
8JW3PNPX,165,3.0,2.0,0.025,0.1,2014-08-12T12:41:21.000,6910000.0,0.001,1.6929693744345,0.0,0.0,0.0,2022-12-11T15:02:17.766,8.33145102226603
VOBB5OHK,99,5.0,2.0,0.025,0.1,2014-08-12T12:40:53.000,6900000.0,0.001,1.6929693744345,0.0,0.0,0.0,2024-03-17T03:58:49.796,9.59362615248773
ODQP28LJ,1648,2.0,2.0,0.025,0.1,2014-08-12T12:54:29.000,7050000.0,0.001,1.71042266695444,0.0,0.0,0.0,2044-12-06T06:36:13.265,30.3168442883837
Z3MJJXHF,1108,2.0,2.0,0.025,0.1,2014-08-12T12:50:09.000,7000000.0,0.001,1.71042266695444,0.0,0.0,0.0,2033-03-12T08:30:22.150,18.579436949424
HRB3SFKQ,458,2.0,2.0,0.025,0.1,2014-08-12T12:43:20.000,6940000.0,0.001,1.71042266695444,0.0,0.0,0.0,2023-01-20T20:03:44.930,8.44096730254557
4NDZ1LZT,1353,3.0,2.0,0.025,0.1,2014-08-12T12:51:53.000,7020000.0,0.001,1.6929693744345,0.0,0.0,0.0,2045-07-13T07:32:52.895,30.9164459229142
7KZL6LXQ,1675,3.0,2.0,0.025,0.1,2014-08-12T12:54:44.000,7050000.0,0.001,1.6929693744345,0.0,0.0,0.0,2061-05-25T22:51:26.734,46.7853549354196
LGEYWXTA,1683,3.5,2.0,0.025,0.1,2014-08-12T12:54:49.000,7050000.0,0.001,1.6929693744345,0.0,0.0,0.0,2067-06-21T08:03:57.430,52.8552947699131
O25968LD,261,2.5,2.0,0.025,0.1,2014-08-12T12:42:00.000,6920000.0,0.001,1.6929693744345,0.0,0.0,0.0,2022-10-30T09:40:16.944,8.21372102096552
7FEN97YW,1472,3.5,2.0,0.025,0.1,2014-08-12T12:52:40.000,7030000.0,0.001,1.71042266695444,0.0,0.0,0.0,2055-12-25T20:21:08.599,41.3697748755963
BU6UHVVN,1283,4.5,2.0,0.025,0.1,2014-08-12T12:51:25.000,7010000.0,0.001,1.6929693744345,0.0,0.0,0.0,2055-07-27T03:13:49.360,40.9536130105341
44FLH3IO,1188,5.0,2.0,0.025,0.1,2014-08-12T12:50:46.000,7000000.0,0.001,1.71042266695444,0.0,0.0,0.0,2054-11-23T19:14:31.126,40.2828257938219
7PZR1RRC,27,2.0,2.0,0.025,0.1,2014-08-12T12:40:25.000,6900000.0,0.001,1.6929693744345,0.0,0.0,0.0,2021-08-15T04:11:49.650,7.00630403088359
FS1D60ZN,1229,2.5,2.0,0.025,0.1,2014-08-12T12:51:04.000,7010000.0,0.001,1.6929693744345,0.0,0.0,0.0,2036-07-27T15:53:28.313,21.9580141960478
ZHIKST1I,1146,3.5,2.0,0.025,0.1,2014-08-12T12:50:29.000,7000000.0,0.001,1.71042266695444,0.0,0.0,0.0,2044-04-08T22:39:24.072,29.6570086996995
PU9062HY,1912,4.0,2.0,0.025,0.1,2014-08-12T12:56:43.000,7070000.0,0.001,1.71042266695444,0.0,0.0,0.0,2090-03-13T13:08:48.343,75.5853987419317
M6G919LH,523,4.5,2.0,0.025,0.1,2014-08-12T12:43:47.000,6940000.0,0.001,1.6929693744345,0.0,0.0,0.0,2032-06-11T22:15:40.427,17.8319883365162
T9O2WF82,1273,4.5,2.0,0.025,0.1,2014-08-12T12:51:21.000,7010000.0,0.001,1.6929693744345,0.0,0.0,0.0,2055-07-27T02:13:40.717,40.9536130105341
7HC7RF6K,698,3.0,2.0,0.025,0.1,2014-08-12T12:45:01.000,6960000.0,0.001,1.71042266695444,0.0,0.0,0.0,2030-04-30T08:12:18.180,15.712848313107
4H3Z6DMG,2127,4.0,2.0,0.025,0.1,2014-08-12T12:58:09.000,7090000.0,0.001,1.6929693744345,0.0,0.0,0.0,2114-08-12T12:58:09.000,99.9993155232483
BT31FWVZ,800,2.5,2.0,0.025,0.1,2014-08-12T12:46:10.000,6970000.0,0.001,1.71042266695444,0.0,0.0,0.0,2029-03-20T03:18:51.681,14.6012580682697
