name,id,mass,u,dragArea,reflectingArea,date,semiMajorAxis,eccentricity,inclination,rAAN,argOfPerigee,meanAnomaly,date,timediff
DEEP3LAI,1223,2.0,2.0,0.025,0.1,2014-08-12T12:51:01.000,7010000.0,0.001,1.6929693744345,0.0,0.0,0.0,2034-03-03T05:45:47.722,19.5541318439119
VUGMU64M,966,5.0,2.0,0.025,0.1,2014-08-12T12:48:20.000,6980000.0,0.001,1.71042266695444,0.0,0.0,0.0,2045-05-19T04:08:39.430,30.7658610375299
AAP1RY9O,2069,1.5,2.0,0.025,0.1,2014-08-12T12:57:46.000,7090000.0,0.001,1.6929693744345,0.0,0.0,0.0,2054-09-09T23:01:48.184,40.0774827682978
GGBQRLPC,1663,2.5,2.0,0.025,0.1,2014-08-12T12:54:37.000,7050000.0,0.001,1.6929693744345,0.0,0.0,0.0,2054-07-05T14:05:14.780,39.8967809058365
4W6FF4YP,1844,1.0,2.0,0.025,0.1,2014-08-12T12:56:17.000,7070000.0,0.001,1.71042266695444,0.0,0.0,0.0,2034-07-17T00:47:14.679,19.9264871968624
25ZH2X4P,1963,1.5,2.0,0.025,0.1,2014-08-12T12:57:04.000,7080000.0,0.001,1.6929693744345,0.0,0.0,0.0,2047-11-26T17:41:24.720,33.2902112979733
CL7XCOZF,637,5.0,2.0,0.025,0.1,2014-08-12T12:44:36.000,6950000.0,0.001,1.6929693744345,0.0,0.0,0.0,2034-12-21T01:39:41.187,20.3563385969596
UYDMF4KQ,422,5.0,2.0,0.025,0.1,2014-08-12T12:43:05.000,6930000.0,0.001,1.71042266695444,0.0,0.0,0.0,2031-08-17T18:16:07.431,17.0133541414266
1OSYU0NP,278,3.5,2.0,0.025,0.1,2014-08-12T12:42:07.000,6920000.0,0.001,1.71042266695444,0.0,0.0,0.0,2023-12-25T19:53:20.646,9.36911777791467
9Y6J8347,1306,1.0,2.0,0.025,0.1,2014-08-12T12:51:35.000,7020000.0,0.001,1.71042266695444,0.0,0.0,0.0,2025-02-01T21:05:45.198,10.475232208738
QO592HNQ,646,5.0,2.0,0.025,0.1,2014-08-12T12:44:39.000,6950000.0,0.001,1.71042266695444,0.0,0.0,0.0,2034-07-16T21:30:39.547,19.9264871968624
TQ8TNQTJ,926,3.5,2.0,0.025,0.1,2014-08-12T12:47:49.000,6980000.0,0.001,1.71042266695444,0.0,0.0,0.0,2035-08-27T18:29:41.699,21.0408153487067
S637ZRAW,58,3.0,2.0,0.025,0.1,2014-08-12T12:40:37.000,6900000.0,0.001,1.71042266695444,0.0,0.0,0.0,2022-07-15T03:24:58.055,7.92076497121775
A2H8PYH7,510,4.0,2.0,0.025,0.1,2014-08-12T12:43:42.000,6940000.0,0.001,1.71042266695444,0.0,0.0,0.0,2029-05-17T18:27:23.170,14.762794581682
1WRG4F2C,1375,4.0,2.0,0.025,0.1,2014-08-12T12:52:02.000,7020000.0,0.001,1.6929693744345,0.0,0.0,0.0,2056-02-06T18:26:14.968,41.4875048768969
CX0C7EB1,2101,3.0,2.0,0.025,0.1,2014-08-12T12:57:58.000,7090000.0,0.001,1.6929693744345,0.0,0.0,0.0,2089-04-07T04:48:52.438,74.6517724525486
OPMF4L69,952,4.5,2.0,0.025,0.1,2014-08-12T12:48:09.000,6980000.0,0.001,1.71042266695444,0.0,0.0,0.0,2043-12-04T23:01:25.312,29.312032416819
D9E4XGA2,967,5.0,2.0,0.025,0.1,2014-08-12T12:48:21.000,6980000.0,0.001,1.6929693744345,0.0,0.0,0.0,2045-05-08T21:47:09.707,30.73848196746
WKX9WGSX,980,1.0,2.0,0.025,0.1,2014-08-12T12:48:30.000,6990000.0,0.001,1.71042266695444,0.0,0.0,0.0,2023-04-23T06:34:53.060,8.69285474718851
ZGIXRIKG,949,4.5,2.0,0.025,0.1,2014-08-12T12:48:07.000,6980000.0,0.001,1.6929693744345,0.0,0.0,0.0,2043-11-13T12:29:19.745,29.2517984626652
GJETN414,1007,2.0,2.0,0.025,0.1,2014-08-12T12:48:52.000,6990000.0,0.001,1.6929693744345,0.0,0.0,0.0,2031-09-09T20:38:48.187,17.0763260025873
W7O3OQ5E,2192,2.0,2.0,0.025,0.1,2014-08-12T12:58:35.000,7100000.0,0.001,1.71042266695444,0.0,0.0,0.0,2068-12-22T19:38:40.588,54.3638815307638
IUX04PZO,1705,4.5,2.0,0.025,0.1,2014-08-12T12:55:01.000,7050000.0,0.001,1.6929693744345,0.0,0.0,0.0,2084-04-25T22:27:20.237,69.7043744909204
R0T2LY5J,1716,4.5,2.0,0.025,0.1,2014-08-12T12:55:08.000,7050000.0,0.001,1.71042266695444,0.0,0.0,0.0,2083-04-30T13:43:59.691,68.7159900613976
867EJPSH,376,3.0,2.0,0.025,0.1,2014-08-12T12:42:46.000,6930000.0,0.001,1.71042266695444,0.0,0.0,0.0,2023-12-09T13:25:42.154,9.32531126580286
D4OF5VEN,1551,2.5,2.0,0.025,0.1,2014-08-12T12:53:28.000,7040000.0,0.001,1.6929693744345,0.0,0.0,0.0,2048-01-16T14:46:22.118,33.4298445553297
KRMCVNZO,1670,3.0,2.0,0.025,0.1,2014-08-12T12:54:41.000,7050000.0,0.001,1.71042266695444,0.0,0.0,0.0,2059-06-07T11:08:56.584,44.8167997973949
JDB3DT2G,1614,5.0,2.0,0.025,0.1,2014-08-12T12:54:10.000,7040000.0,0.001,1.71042266695444,0.0,0.0,0.0,2083-11-21T05:00:47.496,69.2745230908232
ZXPCTSMK,233,1.5,2.0,0.025,0.1,2014-08-12T12:41:49.000,6920000.0,0.001,1.6929693744345,0.0,0.0,0.0,2021-09-16T18:32:45.679,7.09665496211421
HTNYGV4I,174,3.5,2.0,0.025,0.1,2014-08-12T12:41:25.000,6910000.0,0.001,1.71042266695444,0.0,0.0,0.0,2023-06-07T18:44:16.305,8.81879846950998
AKQQUAB8,563,1.5,2.0,0.025,0.1,2014-08-12T12:44:05.000,6950000.0,0.001,1.6929693744345,0.0,0.0,0.0,2022-08-30T12:33:06.695,8.04670869353922
C3ED85YE,2151,5.0,2.0,0.025,0.1,2014-08-12T12:58:18.000,7090000.0,0.001,1.6929693744345,0.0,0.0,0.0,2114-08-12T12:58:19.000,99.9993155232483
HIE0KXAS,1099,1.5,2.0,0.025,0.1,2014-08-12T12:50:02.000,7000000.0,0.001,1.6929693744345,0.0,0.0,0.0,2026-06-02T16:46:43.829,11.8058550141344
29O0LF0H,1207,1.5,2.0,0.025,0.1,2014-08-12T12:50:54.000,7010000.0,0.001,1.6929693744345,0.0,0.0,0.0,2031-04-11T22:00:31.967,16.6629020445321
6PGZLMQL,1110,2.0,2.0,0.025,0.1,2014-08-12T12:50:11.000,7000000.0,0.001,1.71042266695444,0.0,0.0,0.0,2033-03-12T08:18:27.473,18.579436949424
RTUG6P67,631,4.5,2.0,0.025,0.1,2014-08-12T12:44:33.000,6950000.0,0.001,1.6929693744345,0.0,0.0,0.0,2033-12-19T13:20:23.963,19.3542646324018
JLCFSD6D,286,3.5,2.0,0.025,0.1,2014-08-12T12:42:10.000,6920000.0,0.001,1.71042266695444,0.0,0.0,0.0,2023-12-25T20:01:00.583,9.36911777791467
SOT84ZUM,1105,2.0,2.0,0.025,0.1,2014-08-12T12:50:07.000,7000000.0,0.001,1.6929693744345,0.0,0.0,0.0,2032-11-05T20:54:48.240,18.2344606665435
SLK7SYX1,1167,4.5,2.0,0.025,0.1,2014-08-12T12:50:38.000,7000000.0,0.001,1.6929693744345,0.0,0.0,0.0,2051-10-20T09:14:08.671,37.1862529689179
PXNKNGS9,2204,2.5,2.0,0.025,0.1,2014-08-12T12:58:39.000,7100000.0,0.001,1.71042266695444,0.0,0.0,0.0,2086-11-20T14:33:24.732,72.2752691704826
1RI97PMM,1196,1.0,2.0,0.025,0.1,2014-08-12T12:50:50.000,7010000.0,0.001,1.71042266695444,0.0,0.0,0.0,2024-05-02T13:06:13.516,9.72230778181619
271VCSIX,395,3.5,2.0,0.025,0.1,2014-08-12T12:42:54.000,6930000.0,0.001,1.6929693744345,0.0,0.0,0.0,2024-08-28T12:01:38.027,10.0426429016338
J64ML35G,1590,4.0,2.0,0.025,0.1,2014-08-12T12:53:56.000,7040000.0,0.001,1.71042266695444,0.0,0.0,0.0,2067-05-26T16:33:29.282,52.7868470947384
WI1VOOQV,2243,4.0,2.0,0.025,0.1,2014-08-12T12:58:55.000,7100000.0,0.001,1.6929693744345,0.0,0.0,0.0,2114-08-12T12:58:55.000,99.9993155232483
3WMT0A78,1093,1.5,2.0,0.025,0.1,2014-08-12T12:49:58.000,7000000.0,0.001,1.6929693744345,0.0,0.0,0.0,2026-06-02T16:18:48.220,11.8058550141344
YAEWR1MI,1218,2.0,2.0,0.025,0.1,2014-08-12T12:50:59.000,7010000.0,0.001,1.71042266695444,0.0,0.0,0.0,2034-05-08T18:06:01.419,19.7375716133802
TP434J1N,1815,4.5,2.0,0.025,0.1,2014-08-12T12:56:05.000,7060000.0,0.001,1.6929693744345,0.0,0.0,0.0,2091-07-16T14:50:35.223,76.9269731753561
JZ2SH3DD,2133,4.0,2.0,0.025,0.1,2014-08-12T12:58:11.000,7090000.0,0.001,1.6929693744345,0.0,0.0,0.0,2114-08-12T12:58:12.000,99.9993155232483
1QS1AQUI,1070,5.0,2.0,0.025,0.1,2014-08-12T12:49:41.000,6990000.0,0.001,1.71042266695444,0.0,0.0,0.0,2049-12-28T12:47:44.197,35.3764964372985
ZZYZYQAJ,1077,5.0,2.0,0.025,0.1,2014-08-12T12:49:46.000,6990000.0,0.001,1.6929693744345,0.0,0.0,0.0,2049-06-28T15:23:42.606,34.8781973620266
AFCU3PUN,1490,4.5,2.0,0.025,0.1,2014-08-12T12:52:47.000,7030000.0,0.001,1.71042266695444,0.0,0.0,0.0,2067-07-10T15:04:22.386,52.9100529100529
LFQZTDOH,1600,4.5,2.0,0.025,0.1,2014-08-12T12:54:02.000,7040000.0,0.001,1.71042266695444,0.0,0.0,0.0,2075-08-30T10:17:21.224,61.0471125348228
UK0W39QL,220,1.0,2.0,0.025,0.1,2014-08-12T12:41:44.000,6920000.0,0.001,1.71042266695444,0.0,0.0,0.0,2020-04-24T07:38:16.190,5.69758448154308
8M5E7ZCB,865,1.0,2.0,0.025,0.1,2014-08-12T12:47:03.000,6980000.0,0.001,1.6929693744345,0.0,0.0,0.0,2022-11-15T18:58:09.535,8.26026544008433
T1AS2QUO,791,2.0,2.0,0.025,0.1,2014-08-12T12:46:03.000,6970000.0,0.001,1.6929693744345,0.0,0.0,0.0,2025-05-06T03:27:32.746,10.729857560388
P4SN2H18,2245,4.5,2.0,0.025,0.1,2014-08-12T12:58:56.000,7100000.0,0.001,1.6929693744345,0.0,0.0,0.0,2114-08-12T12:58:56.000,99.9993155232483
GNABX3QI,362,2.5,2.0,0.025,0.1,2014-08-12T12:42:40.000,6930000.0,0.001,1.71042266695444,0.0,0.0,0.0,2023-04-11T05:40:05.613,8.65999986310465
OCPIQIQ2,634,4.5,2.0,0.025,0.1,2014-08-12T12:44:34.000,6950000.0,0.001,1.71042266695444,0.0,0.0,0.0,2033-08-21T01:38:22.677,19.0229778845562
8QTTSRJQ,1363,3.5,2.0,0.025,0.1,2014-08-12T12:51:57.000,7020000.0,0.001,1.6929693744345,0.0,0.0,0.0,2053-01-11T05:16:38.050,38.4155732150558
HRU3GQI6,1715,4.5,2.0,0.025,0.1,2014-08-12T12:55:07.000,7050000.0,0.001,1.6929693744345,0.0,0.0,0.0,2084-04-26T03:10:25.663,69.7043744909204
SZ9SP2ML,237,1.5,2.0,0.025,0.1,2014-08-12T12:41:51.000,6920000.0,0.001,1.6929693744345,0.0,0.0,0.0,2021-09-16T18:32:50.609,7.09665496211421
T89023CW,746,5.0,2.0,0.025,0.1,2014-08-12T12:45:26.000,6960000.0,0.001,1.71042266695444,0.0,0.0,0.0,2036-06-17T10:18:04.395,21.8457600087613
1WSBRSOB,1542,2.0,2.0,0.025,0.1,2014-08-12T12:53:21.000,7040000.0,0.001,1.71042266695444,0.0,0.0,0.0,2043-05-11T21:35:54.658,28.7452856663723
FXLHD2N7,1962,1.5,2.0,0.025,0.1,2014-08-12T12:57:04.000,7080000.0,0.001,1.71042266695444,0.0,0.0,0.0,2048-04-05T13:00:53.055,33.6488771158888
F4TGND5S,921,3.0,2.0,0.025,0.1,2014-08-12T12:47:46.000,6980000.0,0.001,1.6929693744345,0.0,0.0,0.0,2033-11-18T14:45:40.648,19.2693895151851
VMV3XP9F,1931,4.5,2.0,0.025,0.1,2014-08-12T12:56:51.000,7070000.0,0.001,1.6929693744345,0.0,0.0,0.0,2101-10-26T05:27:35.836,87.202338172584
ZUB9UT6L,2265,5.0,2.0,0.025,0.1,2014-08-12T12:59:04.000,7100000.0,0.001,1.6929693744345,0.0,0.0,0.0,2114-08-12T12:59:04.000,99.9993155232483
2VD4DLE4,1267,4.0,2.0,0.025,0.1,2014-08-12T12:51:19.000,7010000.0,0.001,1.6929693744345,0.0,0.0,0.0,2052-06-25T21:28:39.284,37.870729720665
6XUQCCKF,283,3.5,2.0,0.025,0.1,2014-08-12T12:42:09.000,6920000.0,0.001,1.6929693744345,0.0,0.0,0.0,2023-11-21T03:18:52.283,9.27329103267008
ZF1ZEZDO,398,4.0,2.0,0.025,0.1,2014-08-12T12:42:55.000,6930000.0,0.001,1.71042266695444,0.0,0.0,0.0,2025-11-06T15:33:25.993,11.2363703566808
QQ9D8V9F,1426,1.5,2.0,0.025,0.1,2014-08-12T12:52:22.000,7030000.0,0.001,1.71042266695444,0.0,0.0,0.0,2034-01-01T17:15:52.198,19.3898574234926
445GPFYM,1261,4.0,2.0,0.025,0.1,2014-08-12T12:51:16.000,7010000.0,0.001,1.6929693744345,0.0,0.0,0.0,2052-06-25T20:01:38.554,37.870729720665
BKBON9Y2,560,1.5,2.0,0.025,0.1,2014-08-12T12:44:03.000,6950000.0,0.001,1.71042266695444,0.0,0.0,0.0,2022-09-17T19:11:35.055,8.09872892667201
